scenario_id,scenario_name,viewpoint_label,viewpoint_index,sample,seed,predicted_sigma,localisation_error,normalized_squared_error,radial_error_over_sigma,covered_50,covered_90,covered_95,covered_99
0,baseline,initial,-1,0,20270930,0.002,0.0018187451082497326,0.8269584421955829,0.9093725541248663,True,True,True,True
0,baseline,initial,-1,1,20270931,0.002,0.0013644465753523498,0.46542861424768894,0.6822232876761749,True,True,True,True
0,baseline,initial,-1,2,20270932,0.002,0.0016327744277918176,0.6664880830127244,0.8163872138959088,True,True,True,True
0,baseline,initial,-1,3,20270933,0.002,0.0028984486284926074,2.1002511130026695,1.4492243142463037,True,True,True,True
0,baseline,initial,-1,4,20270934,0.002,0.0018234055584530264,0.8312019576493483,0.9117027792265132,True,True,True,True
0,baseline,initial,-1,5,20270935,0.002,0.0011094511950814605,0.30772048856692025,0.5547255975407303,True,True,True,True
0,baseline,initial,-1,6,20270936,0.002,0.0017557832533803429,0.7706937082127153,0.8778916266901714,True,True,True,True
0,baseline,initial,-1,7,20270937,0.002,0.004515680595593997,5.097842810356039,2.2578402977969985,False,True,True,True
0,baseline,initial,-1,8,20270938,0.002,0.00508381900199942,6.461303911272596,2.54190950099971,False,False,True,True
0,baseline,initial,-1,9,20270939,0.002,0.0011710458377669991,0.3428370885378532,0.5855229188834995,True,True,True,True
0,baseline,initial,-1,10,20270940,0.002,0.0017902169410630624,0.8012191740172971,0.8951084705315312,True,True,True,True
0,baseline,initial,-1,11,20270941,0.002,0.003210491156908642,2.576813367147148,1.605245578454321,False,True,True,True
0,baseline,initial,-1,12,20270942,0.002,0.004655011984142163,5.417284143126791,2.3275059920710817,False,True,True,True
0,baseline,initial,-1,13,20270943,0.002,0.00701675351193254,12.30870746180441,3.50837675596627,False,False,False,False
0,baseline,initial,-1,14,20270944,0.002,0.005108722159971516,6.524760526946007,2.5543610799857577,False,False,True,True
0,baseline,initial,-1,15,20270945,0.002,0.003791432083911188,3.593739311727783,1.8957160419555938,False,True,True,True
0,baseline,initial,-1,16,20270946,0.002,0.002438182336307703,1.4861832762707226,1.2190911681538517,True,True,True,True
0,baseline,initial,-1,17,20270947,0.002,0.0036677843703203945,3.3631605467916432,1.8338921851601973,False,True,True,True
