scenario,repetition,seed,fault_onset_step,detected,correct_response,response_latency_steps,completed,terminal_state,recovery_success,appropriate_terminal_response,false_alarm,unsafe_continuation,first_fault_action,replans,reacquisitions,recoveries,stops,failures
persistent_perception_recovery_failure,7,271708,17,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,8,271809,13,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,9,271910,16,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,10,272011,13,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,11,272112,10,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,12,272213,13,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,13,272314,12,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,14,272415,9,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,15,272516,13,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,16,272617,11,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,17,272718,12,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,18,272819,7,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,19,272920,7,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,20,273021,7,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,21,273122,8,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,22,273223,8,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,23,273324,9,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,24,273425,12,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,25,273526,16,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,26,273627,11,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,27,273728,18,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,28,273829,14,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,29,273930,15,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
recoverable_uncertainty,0,371001,14,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,1,371102,11,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,2,371203,14,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,3,371304,8,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,4,371405,9,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,5,371506,6,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,6,371607,9,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,7,371708,13,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,8,371809,9,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,9,371910,7,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
