scenario_id,scenario_name,repetition,strategy,initial_perception_seed,final_perception_seed,random_viewpoint_seed,planner_seed,selected_candidate_index,movement_weight,camera_movement,mean_localisation_error,mean_predicted_sigma,task_relevance,task_alignment,planning_success,collision_against_truth,safety_violation_against_truth,safe_navigation_success,minimum_true_safety_clearance,mean_planning_safety_margin,maximum_planning_safety_radius,planner_iterations,planning_time_seconds,path_cost,maximum_rcm_error
2000,held_out_000,0,fixed,60463000,70463000,80463000,90463000,,,0.0,0.045017331255525775,0.04,,,False,False,False,False,-inf,0.093613775,0.1380116,0,0.00015510001685470343,inf,nan
2000,held_out_000,0,random_active,60463000,70463000,80463000,90463000,24,,0.1464466047703459,0.028783339433014796,0.026813229558292243,,,False,False,False,False,-inf,0.06724023411658447,0.1380116,0,0.0001221999991685152,inf,nan
2000,held_out_000,0,generic_active,60463000,70463000,80463000,90463000,2,0.2,0.18591314610255666,0.028663269564129647,0.026715697551669026,,,False,False,False,False,-inf,0.06704517010333805,0.1380116,0,0.00011599995195865631,inf,nan
2000,held_out_000,0,budget_matched_generic,60463000,70463000,80463000,90463000,2,0.072,0.18591314610255666,0.028663269564129647,0.026715697551669026,,,False,False,False,False,-inf,0.06704517010333805,0.1380116,0,0.00011519994586706161,inf,nan
2000,held_out_000,0,alignment_only,60463000,70463000,80463000,90463000,2,0.2,0.18591314610255666,0.028663269564129647,0.026715697551669026,9.631457491005637e-05,0.9999998692990468,False,False,False,False,-inf,0.06704517010333805,0.1380116,0,0.00011959997937083244,inf,nan
2000,held_out_000,0,information_only,60463000,70463000,80463000,90463000,0,0.2,0.06609318476548365,0.045017331255525775,0.04,9.631457491005637e-05,0.9999996457184142,False,False,False,False,-inf,0.093613775,0.1380116,0,0.00011280004400759935,inf,nan
2000,held_out_000,0,full_task_aware,60463000,70463000,80463000,90463000,0,0.2,0.06609318476548365,0.045017331255525775,0.04,9.631457491005637e-05,0.9999996457184142,False,False,False,False,-inf,0.093613775,0.1380116,0,0.00011100003030151129,inf,nan
2000,held_out_000,0,oracle,60463000,70463000,80463000,90463000,95,0.2,0.14368990593098668,0.003731668959671971,0.0032429492335164824,0.18077295464896376,0.9763971555992702,True,False,False,True,0.005765928091434959,0.020099673467032966,0.04481514325637177,628,2.3986534000141546,2.1622206530849044,1.3790124829089292e-17
2000,held_out_000,1,fixed,60463001,70463001,80463001,90463001,,,0.0,0.08038022908260274,0.04,,,False,False,False,False,-inf,0.093613775,0.1380116,0,0.0007206000154837966,inf,nan
2000,held_out_000,1,random_active,60463001,70463001,80463001,90463001,92,,0.31287705881192485,0.007812037233893187,0.003469277448684478,,,True,False,True,False,-0.0013171740744911554,0.020552329897368955,0.045474170598437544,171,0.9927517999894917,2.4016854022081273,7.841883823347838e-18
2000,held_out_000,1,generic_active,60463001,70463001,80463001,90463001,9,0.2,0.1621898090174813,0.029178257234151732,0.026328609484550267,,,False,False,False,False,-inf,0.06627099396910052,0.1380116,0,0.00012370001059025526,inf,nan
2000,held_out_000,1,budget_matched_generic,60463001,70463001,80463001,90463001,9,0.072,0.1621898090174813,0.029178257234151732,0.026328609484550267,,,False,False,False,False,-inf,0.06627099396910052,0.1380116,0,0.00011859997175633907,inf,nan
2000,held_out_000,1,alignment_only,60463001,70463001,80463001,90463001,9,0.2,0.1621898090174813,0.029178257234151732,0.026328609484550267,0.3132379330857092,0.9958816347989082,False,False,False,False,-inf,0.06627099396910052,0.1380116,0,0.00011629995424300432,inf,nan
2000,held_out_000,1,information_only,60463001,70463001,80463001,90463001,9,0.2,0.1621898090174813,0.029178257234151732,0.026328609484550267,0.3132379330857092,0.9958816347989082,False,False,False,False,-inf,0.06627099396910052,0.1380116,0,0.00011620006989687681,inf,nan
2000,held_out_000,1,full_task_aware,60463001,70463001,80463001,90463001,9,0.2,0.1621898090174813,0.029178257234151732,0.026328609484550267,0.3132379330857092,0.9958816347989082,False,False,False,False,-inf,0.06627099396910052,0.1380116,0,0.00011790008284151554,inf,nan
2000,held_out_000,1,oracle,60463001,70463001,80463001,90463001,57,0.2,0.21792677229516516,0.0068644300098366,0.00285780821074072,0.18077295464896376,0.9897233025366499,True,False,True,False,-0.0013171740744911554,0.01932939142148144,0.0439138815568609,171,0.5598751000361517,2.4016854022081273,7.841883823347838e-18
2000,held_out_000,2,fixed,60463002,70463002,80463002,90463002,,,0.0,0.06967116930324277,0.04,,,False,False,False,False,-inf,0.093613775,0.1380116,0,0.00013479997869580984,inf,nan
2000,held_out_000,2,random_active,60463002,70463002,80463002,90463002,33,,0.24561664899549504,0.036596021464980324,0.026617122746744562,,,False,False,False,False,-inf,0.06684802049348912,0.1380116,0,0.0001118999207392335,inf,nan
2000,held_out_000,2,generic_active,60463002,70463002,80463002,90463002,3,0.2,0.2465909555544673,0.007235178562195769,0.004058007065392009,,,True,False,False,True,0.003658489011313477,0.021729789130784022,0.04758435437610449,132,0.4340171000221744,2.680460375579835,1.061292848478006e-17
2000,held_out_000,2,budget_matched_generic,60463002,70463002,80463002,90463002,15,0.072,0.25504483176191256,0.0073349533641855836,0.0041328107420499464,,,True,False,False,True,0.003658489011313477,0.02187939648409989,0.04787591954648812,132,0.41969070001505315,2.680460375579835,1.061292848478006e-17
2000,held_out_000,2,alignment_only,60463002,70463002,80463002,90463002,16,0.2,0.30503252190450636,0.007035042679276719,0.003911604478705118,0.004095202778179865,0.998003335871287,True,False,False,True,0.003658489011313477,0.021436983957410234,0.04703036963482838,132,0.4377968000480905,2.680460375579835,1.061292848478006e-17
