stage,condition,localisation_error_mm,predicted_sigma_mm,camera_movement_mm,planning_success_percent,safe_navigation_success_percent
E5 multi-scenario,fixed,25.964264408139854,17.77731307083079,0.0,45.0,43.0
E5 multi-scenario,generic_active,16.93403943909844,12.266668537158596,15.62833599002373,63.0,61.0
E5 multi-scenario,task_aware_active,4.681516204589485,3.0033009890084714,109.98509646915899,100.0,97.0
E6 mechanism,generic_baseline,20.784830997330285,12.266668537158596,15.62833599002373,63.0,63.0
E6 mechanism,alignment_only,4.754855327074328,3.0147050919576968,103.59090275801927,100.0,100.0
E6 mechanism,uncertainty_only,20.784830997330285,12.266668537158596,15.62833599002373,63.0,63.0
E6 mechanism,full_task_aware,4.776649245367027,3.0033009890084714,109.98509646915899,100.0,100.0
E7 uncertainty stress,generic_baseline,32.745976422532614,15.641670992179249,15.62833599002373,68.75,61.25000000000001
E7 uncertainty stress,high_uncertainty_only,32.745976422532614,15.641670992179249,15.62833599002373,68.75,61.25000000000001
E7 uncertainty stress,alignment_only,7.3581460973218045,4.329254949492975,107.3849096420784,95.0,92.5
E7 uncertainty stress,full_task_aware,7.376418550239747,4.320133537082092,109.98509646915896,95.0,92.5
