scenario_id,scenario_name,illumination_name,illumination_quality,observation_sigma_multiplier,repetition,strategy,perception_seed,planner_seed,mean_localisation_error,mean_predicted_sigma,camera_movement,planning_success,safe_navigation_success,collision_against_truth,safety_violation_against_truth,minimum_true_safety_clearance
1,lateral_positive,mild_degradation,0.75,1.1547005383792517,1,generic_active,20271111,21101,0.0033550448305858112,0.003446835220216794,0.0,True,True,False,False,0.00891241433739117
1,lateral_positive,mild_degradation,0.75,1.1547005383792517,1,task_aware_active,20271111,21101,0.0033550448305858112,0.003446835220216794,0.0,True,True,False,False,0.00891241433739117
1,lateral_positive,moderate_degradation,0.5,1.414213562373095,0,fixed,20271210,21200,0.005094897649038924,0.004221493758492415,0.0,True,True,False,False,0.011038353027338228
1,lateral_positive,moderate_degradation,0.5,1.414213562373095,0,generic_active,20271210,21200,0.005094897649038924,0.004221493758492415,0.0,True,True,False,False,0.011038353027338228
1,lateral_positive,moderate_degradation,0.5,1.414213562373095,0,task_aware_active,20271210,21200,0.005094897649038924,0.004221493758492415,0.0,True,True,False,False,0.011038353027338228
1,lateral_positive,moderate_degradation,0.5,1.414213562373095,1,fixed,20271211,21201,0.009159228151293459,0.004221493758492415,0.0,True,True,False,False,0.0023018389268041044
1,lateral_positive,moderate_degradation,0.5,1.414213562373095,1,generic_active,20271211,21201,0.009159228151293459,0.004221493758492415,0.0,True,True,False,False,0.0023018389268041044
1,lateral_positive,moderate_degradation,0.5,1.414213562373095,1,task_aware_active,20271211,21201,0.009159228151293459,0.004221493758492415,0.0,True,True,False,False,0.0023018389268041044
1,lateral_positive,severe_degradation,0.25,2.0,0,fixed,20271310,21300,0.009730667182128715,0.0059700937267333455,0.0,True,True,False,False,0.0022233700997968033
1,lateral_positive,severe_degradation,0.25,2.0,0,generic_active,20271310,21300,0.009730667182128715,0.0059700937267333455,0.0,True,True,False,False,0.0022233700997968033
1,lateral_positive,severe_degradation,0.25,2.0,0,task_aware_active,20271310,21300,0.009730667182128715,0.0059700937267333455,0.0,True,True,False,False,0.0022233700997968033
1,lateral_positive,severe_degradation,0.25,2.0,1,fixed,20271311,21301,0.01248032335753592,0.0059700937267333455,0.0,True,True,False,False,0.010082293672457448
1,lateral_positive,severe_degradation,0.25,2.0,1,generic_active,20271311,21301,0.01248032335753592,0.0059700937267333455,0.0,True,True,False,False,0.010082293672457448
1,lateral_positive,severe_degradation,0.25,2.0,1,task_aware_active,20271311,21301,0.01248032335753592,0.0059700937267333455,0.0,True,True,False,False,0.010082293672457448
2,lateral_negative,normal,1.0,1.0,0,fixed,20281010,31000,0.004232511112700091,0.0032375668825886986,0.0,True,True,False,False,0.00418131842497795
2,lateral_negative,normal,1.0,1.0,0,generic_active,20281010,31000,0.004232511112700091,0.0032375668825886986,0.0,True,True,False,False,0.00418131842497795
2,lateral_negative,normal,1.0,1.0,0,task_aware_active,20281010,31000,0.004052512661961646,0.0030970156745426455,0.07296310404050822,True,True,False,False,0.004534724355894226
2,lateral_negative,normal,1.0,1.0,1,fixed,20281011,31001,0.0037297722452892474,0.0032375668825886986,0.0,True,True,False,False,0.004127254375061713
2,lateral_negative,normal,1.0,1.0,1,generic_active,20281011,31001,0.0037297722452892474,0.0032375668825886986,0.0,True,True,False,False,0.004127254375061713
2,lateral_negative,normal,1.0,1.0,1,task_aware_active,20281011,31001,0.0035704407072229866,0.0030970156745426455,0.07296310404050822,True,True,False,False,0.004127254375061713
2,lateral_negative,mild_degradation,0.75,1.1547005383792517,0,fixed,20281110,31100,0.0046398059544188915,0.0037384202223640067,0.0,True,True,False,False,0.005266047607473052
2,lateral_negative,mild_degradation,0.75,1.1547005383792517,0,generic_active,20281110,31100,0.0046398059544188915,0.0037384202223640067,0.0,True,True,False,False,0.005266047607473052
2,lateral_negative,mild_degradation,0.75,1.1547005383792517,0,task_aware_active,20281110,31100,0.004435901343686937,0.003576125666763375,0.07296310404050822,True,True,False,False,0.005266047607473052
2,lateral_negative,mild_degradation,0.75,1.1547005383792517,1,fixed,20281111,31101,0.009024655584694358,0.0037384202223640067,0.0,True,True,False,False,0.007718920232555241
2,lateral_negative,mild_degradation,0.75,1.1547005383792517,1,generic_active,20281111,31101,0.009024655584694358,0.0037384202223640067,0.0,True,True,False,False,0.007718920232555241
2,lateral_negative,mild_degradation,0.75,1.1547005383792517,1,task_aware_active,20281111,31101,0.008498162064303946,0.003576125666763375,0.07296310404050822,True,True,False,False,0.007718920232555241
2,lateral_negative,moderate_degradation,0.5,1.414213562373095,0,fixed,20281210,31200,0.009961524676840808,0.004578610994446919,0.0,True,True,False,False,0.009307310804272306
2,lateral_negative,moderate_degradation,0.5,1.414213562373095,0,generic_active,20281210,31200,0.009961524676840808,0.004578610994446919,0.0,True,True,False,False,0.009307310804272306
2,lateral_negative,moderate_degradation,0.5,1.414213562373095,0,task_aware_active,20281210,31200,0.009516404799119868,0.004379841569820269,0.07296310404050822,True,True,False,False,0.009307310804272306
2,lateral_negative,moderate_degradation,0.5,1.414213562373095,1,fixed,20281211,31201,0.011399786557304534,0.004578610994446919,0.0,True,True,False,False,0.0019919787387711867
2,lateral_negative,moderate_degradation,0.5,1.414213562373095,1,generic_active,20281211,31201,0.011399786557304534,0.004578610994446919,0.0,True,True,False,False,0.0019919787387711867
2,lateral_negative,moderate_degradation,0.5,1.414213562373095,1,task_aware_active,20281211,31201,0.01082489220466662,0.004379841569820269,0.07296310404050822,True,True,False,False,0.0019919787387711867
2,lateral_negative,severe_degradation,0.25,2.0,0,fixed,20281310,31300,0.010997148749465401,0.006475133765177397,0.0,False,False,False,False,-inf
2,lateral_negative,severe_degradation,0.25,2.0,0,generic_active,20281310,31300,0.010997148749465401,0.006475133765177397,0.0,False,False,False,False,-inf
2,lateral_negative,severe_degradation,0.25,2.0,0,task_aware_active,20281310,31300,0.010582470504215718,0.006194031349085291,0.07296310404050822,False,False,False,False,-inf
2,lateral_negative,severe_degradation,0.25,2.0,1,fixed,20281311,31301,0.010947218520249486,0.006475133765177397,0.0,True,True,False,False,0.00738859350618829
2,lateral_negative,severe_degradation,0.25,2.0,1,generic_active,20281311,31301,0.010947218520249486,0.006475133765177397,0.0,True,True,False,False,0.00738859350618829
2,lateral_negative,severe_degradation,0.25,2.0,1,task_aware_active,20281311,31301,0.010380795557818637,0.006194031349085291,0.07296310404050822,True,True,False,False,0.007291248721140222
3,superior_shift,normal,1.0,1.0,0,fixed,20291010,41000,0.04016512565926583,0.026000000000000002,0.0,False,False,False,False,-inf
3,superior_shift,normal,1.0,1.0,0,generic_active,20291010,41000,0.04016512565926583,0.026000000000000002,0.0,False,False,False,False,-inf
3,superior_shift,normal,1.0,1.0,0,task_aware_active,20291010,41000,0.00454141472034366,0.003058118045019235,0.09153744774286736,True,True,False,False,0.004216022312613565
3,superior_shift,normal,1.0,1.0,1,fixed,20291011,41001,0.03615338967690299,0.026000000000000002,0.0,False,False,False,False,-inf
3,superior_shift,normal,1.0,1.0,1,generic_active,20291011,41001,0.03615338967690299,0.026000000000000002,0.0,False,False,False,False,-inf
3,superior_shift,normal,1.0,1.0,1,task_aware_active,20291011,41001,0.003734859078106837,0.003058118045019235,0.09153744774286736,True,True,False,False,0.0025695216206726972
3,superior_shift,mild_degradation,0.75,1.1547005383792517,0,fixed,20291110,41100,0.03968589974245031,0.030022213997860547,0.0,False,False,False,False,-inf
3,superior_shift,mild_degradation,0.75,1.1547005383792517,0,generic_active,20291110,41100,0.03968589974245031,0.030022213997860547,0.0,False,False,False,False,-inf
3,superior_shift,mild_degradation,0.75,1.1547005383792517,0,task_aware_active,20291110,41100,0.004147273053712628,0.0035312105530110154,0.09153744774286736,True,True,False,False,0.007266663129124764
3,superior_shift,mild_degradation,0.75,1.1547005383792517,1,fixed,20291111,41101,0.04964713702914099,0.030022213997860547,0.0,True,True,False,False,0.0031241394269238883
3,superior_shift,mild_degradation,0.75,1.1547005383792517,1,generic_active,20291111,41101,0.04964713702914099,0.030022213997860547,0.0,True,True,False,False,0.0031241394269238883
3,superior_shift,mild_degradation,0.75,1.1547005383792517,1,task_aware_active,20291111,41101,0.007045153930967494,0.0035312105530110154,0.09153744774286736,True,True,False,False,0.001547019636106572
