scenario_id,scenario_name,repetition,strategy,perception_seed,planner_seed,planning_success,collision_against_truth,safety_violation_against_truth,safe_navigation_success,mean_localisation_error,mean_predicted_sigma,camera_movement,minimum_true_safety_clearance,mean_planning_safety_margin,maximum_planning_safety_radius
0,baseline,0,fixed,20260901,5000,False,False,False,False,0.018531648723059787,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,0,generic_active,20260901,5000,False,False,False,False,0.018531648723059787,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,0,task_aware_active,20260901,5000,True,False,False,True,0.0022952294830912373,0.0029850468633666727,0.1993389073166024,0.006235945955855906,0.020970093726733342,0.04794018745346669
0,baseline,1,fixed,20260902,5001,False,False,False,False,0.045185409073261656,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,1,generic_active,20260902,5001,False,False,False,False,0.045185409073261656,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,1,task_aware_active,20260902,5001,True,False,False,True,0.0043999158424408045,0.0029850468633666727,0.1993389073166024,0.006058751765732518,0.020970093726733342,0.04794018745346669
0,baseline,2,fixed,20260903,5002,False,False,False,False,0.03574718901412324,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,2,generic_active,20260903,5002,False,False,False,False,0.03574718901412324,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,2,task_aware_active,20260903,5002,True,False,False,True,0.004026233498292238,0.0029850468633666727,0.1993389073166024,0.008802648445303476,0.020970093726733342,0.04794018745346669
0,baseline,3,fixed,20260904,5003,False,False,False,False,0.01361580625111063,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,3,generic_active,20260904,5003,False,False,False,False,0.01361580625111063,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,3,task_aware_active,20260904,5003,True,False,False,True,0.003047037793192504,0.0029850468633666727,0.1993389073166024,0.004592370136515296,0.020970093726733342,0.04794018745346669
0,baseline,4,fixed,20260905,5004,False,False,False,False,0.0331204532666204,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,4,generic_active,20260905,5004,False,False,False,False,0.0331204532666204,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,4,task_aware_active,20260905,5004,True,False,False,True,0.004232391526140472,0.0029850468633666727,0.1993389073166024,0.0046024563455018454,0.020970093726733342,0.04794018745346669
0,baseline,5,fixed,20260906,5005,False,False,False,False,0.03248825771509104,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,5,generic_active,20260906,5005,False,False,False,False,0.03248825771509104,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,5,task_aware_active,20260906,5005,True,False,False,True,0.003527081213050385,0.0029850468633666727,0.1993389073166024,0.013343908669456823,0.020970093726733342,0.04794018745346669
0,baseline,6,fixed,20260907,5006,False,False,False,False,0.02594773232409617,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,6,generic_active,20260907,5006,False,False,False,False,0.02594773232409617,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,6,task_aware_active,20260907,5006,True,False,False,True,0.004510201731171777,0.0029850468633666727,0.1993389073166024,0.00995922287547187,0.020970093726733342,0.04794018745346669
0,baseline,7,fixed,20260908,5007,False,False,False,False,0.02814123947523269,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,7,generic_active,20260908,5007,False,False,False,False,0.02814123947523269,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,7,task_aware_active,20260908,5007,True,False,False,True,0.002730931861953746,0.0029850468633666727,0.1993389073166024,0.003926350806562456,0.020970093726733342,0.04794018745346669
0,baseline,8,fixed,20260909,5008,False,False,False,False,0.012792906826332067,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,8,generic_active,20260909,5008,False,False,False,False,0.012792906826332067,0.026000000000000002,0.0,-inf,0.067,0.14
0,baseline,8,task_aware_active,20260909,5008,True,False,True,False,0.003911709133125176,0.0029850468633666727,0.1993389073166024,-0.0002468259410270627,0.020970093726733342,0.04794018745346669
0,baseline,9,fixed,20260910,5009,False,False,False,False,0.02104990440091234,0.026000000000000002,0.0,-inf,0.067,0.14
