scenario,repetition,episode_seed,strategy,initial_plan_success,completed,safe_completion,executed_steps,unsafe_steps,collision_steps,any_safety_violation,any_collision,replans,reacquisitions,stops,initial_blocked,final_progress,total_planning_iterations
stable,19,88101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,19,88101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,1,0,False,1.0,0
stable,20,89101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,20,89101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,20,89101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,1,0,False,1.0,0
stable,21,90101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,21,90101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,21,90101,closed_loop_adaptive,True,True,True,34,0,0,False,False,3,3,0,False,1.0,0
stable,22,91101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,22,91101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,22,91101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,43
stable,23,92101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,23,92101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,23,92101,closed_loop_adaptive,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,24,93101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,24,93101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,24,93101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,62
stable,25,94101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,25,94101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,25,94101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,26,95101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,26,95101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,26,95101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,1,0,False,1.0,0
stable,27,96101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
