stress_condition,repetition,planner_policy,trajectory_released,unsafe_release,safe_release,conservative_safe_block,error_x_mm,error_y_mm,error_z_mm,minimum_surface_clearance_mm,minimum_safety_clearance_mm,truth_collision,truth_safety_violation
calibrated_gaussian,0,nominal_chance,True,False,True,False,-4.715702089082483,-0.5521856424199163,2.8571668238542776,10.276612005618752,2.276612005618751,False,False
calibrated_gaussian,0,robust_chance,False,False,False,True,-4.715702089082483,-0.5521856424199163,2.8571668238542776,10.276612005618752,2.276612005618751,False,False
calibrated_gaussian,1,nominal_chance,True,False,True,False,-0.08673015914036207,1.738230853828315,2.747379899109882,11.301440296661633,3.301440296661634,False,False
calibrated_gaussian,1,robust_chance,False,False,False,True,-0.08673015914036207,1.738230853828315,2.747379899109882,11.301440296661633,3.301440296661634,False,False
calibrated_gaussian,2,nominal_chance,True,False,True,False,-12.237179312566601,-2.6245277003135765,-2.036260014821015,12.821179010501385,4.8211790105013845,False,False
calibrated_gaussian,2,robust_chance,False,False,False,True,-12.237179312566601,-2.6245277003135765,-2.036260014821015,12.821179010501385,4.8211790105013845,False,False
calibrated_gaussian,3,nominal_chance,True,False,True,False,5.727408156840074,2.7367291527992945,-2.1925488173670646,14.355604337303628,6.355604337303628,False,False
calibrated_gaussian,3,robust_chance,False,False,False,True,5.727408156840074,2.7367291527992945,-2.1925488173670646,14.355604337303628,6.355604337303628,False,False
calibrated_gaussian,4,nominal_chance,True,False,True,False,-8.566978517573414,-2.457354027630673,-2.7654375763777312,12.6775979290065,4.677597929006501,False,False
calibrated_gaussian,4,robust_chance,False,False,False,True,-8.566978517573414,-2.457354027630673,-2.7654375763777312,12.6775979290065,4.677597929006501,False,False
calibrated_gaussian,5,nominal_chance,True,False,True,False,-0.34725833232396935,-1.7183096663654815,-2.1947695322802763,11.70777085153246,3.70777085153246,False,False
calibrated_gaussian,5,robust_chance,False,False,False,True,-0.34725833232396935,-1.7183096663654815,-2.1947695322802763,11.70777085153246,3.70777085153246,False,False
calibrated_gaussian,6,nominal_chance,True,False,True,False,-4.713331055244759,-1.6654418393519435,-0.8941943093537487,11.502895804192917,3.5028958041929177,False,False
calibrated_gaussian,6,robust_chance,False,False,False,True,-4.713331055244759,-1.6654418393519435,-0.8941943093537487,11.502895804192917,3.5028958041929177,False,False
calibrated_gaussian,7,nominal_chance,True,False,True,False,-15.062198547919,-4.3767569230714525,-4.533264494736465,13.473972357203287,5.473972357203286,False,False
calibrated_gaussian,7,robust_chance,False,False,False,True,-15.062198547919,-4.3767569230714525,-4.533264494736465,13.473972357203287,5.473972357203286,False,False
calibrated_gaussian,8,nominal_chance,True,False,True,False,-16.965308569735683,-5.6727369138026225,-4.038494460059278,12.55292577349435,4.55292577349435,False,False
calibrated_gaussian,8,robust_chance,False,False,False,True,-16.965308569735683,-5.6727369138026225,-4.038494460059278,12.55292577349435,4.55292577349435,False,False
calibrated_gaussian,9,nominal_chance,True,False,True,False,1.9436556733107102,1.1534759860376766,-0.7948355087682618,12.662570469793033,4.6625704697930335,False,False
calibrated_gaussian,9,robust_chance,False,False,False,True,1.9436556733107102,1.1534759860376766,-0.7948355087682618,12.662570469793033,4.6625704697930335,False,False
calibrated_gaussian,10,nominal_chance,True,False,True,False,1.3860633730862204,0.11268500332538693,-1.1113377309258146,12.134471388658355,4.134471388658355,False,False
calibrated_gaussian,10,robust_chance,False,False,False,True,1.3860633730862204,0.11268500332538693,-1.1113377309258146,12.134471388658355,4.134471388658355,False,False
calibrated_gaussian,11,nominal_chance,True,False,True,False,-7.325058739056575,-2.2690231908285554,-5.810695474281875,14.56980012005081,6.569800120050808,False,False
calibrated_gaussian,11,robust_chance,False,False,False,True,-7.325058739056575,-2.2690231908285554,-5.810695474281875,14.56980012005081,6.569800120050808,False,False
calibrated_gaussian,12,nominal_chance,True,False,True,False,-11.707920536379833,-2.0257860275724164,0.6544555548246314,11.761037021320591,3.761037021320591,False,False
calibrated_gaussian,12,robust_chance,False,False,False,True,-11.707920536379833,-2.0257860275724164,0.6544555548246314,11.761037021320591,3.761037021320591,False,False
calibrated_gaussian,13,nominal_chance,True,False,True,False,-8.866644503931253,-2.4416750370723217,0.09042220234162228,11.073233358161078,3.073233358161077,False,False
calibrated_gaussian,13,robust_chance,False,False,False,True,-8.866644503931253,-2.4416750370723217,0.09042220234162228,11.073233358161078,3.073233358161077,False,False
calibrated_gaussian,14,nominal_chance,True,False,True,False,1.1851324842454467,0.22693073766525093,0.6461482348311942,11.132107041422922,3.132107041422921,False,False
calibrated_gaussian,14,robust_chance,False,False,False,True,1.1851324842454467,0.22693073766525093,0.6461482348311942,11.132107041422922,3.132107041422921,False,False
