condition,repetition,strategy,planning_success,direct_edge_accepted,planning_iterations,planning_time_seconds,path_cost,estimated_max_point_risk,true_centre_x,true_centre_y,true_centre_z,minimum_surface_clearance_mm,minimum_safety_clearance_mm,collision,safety_margin_violation,safe_navigation
tangential_major_axis,0,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.12900088770914844,-0.018000415403883405,0.02331933273609847,12.614132538499625,4.614132538499625,False,False,True
tangential_major_axis,0,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.12900088770914844,-0.018000415403883405,0.02331933273609847,,,False,False,False
tangential_major_axis,0,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.12900088770914844,-0.018000415403883405,0.02331933273609847,12.614132538499625,4.614132538499625,False,False,True
tangential_major_axis,1,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.09790689039628903,-0.02602580545146056,0.01759025956126715,10.41273278194727,2.4127327819472697,False,False,True
tangential_major_axis,1,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.09790689039628903,-0.02602580545146056,0.01759025956126715,,,False,False,False
tangential_major_axis,1,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.09790689039628903,-0.02602580545146056,0.01759025956126715,10.41273278194727,2.4127327819472697,False,False,True
tangential_major_axis,2,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.12048341531575905,-0.018477342564832435,0.02377718598755852,11.192161106796327,3.192161106796326,False,False,True
tangential_major_axis,2,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.12048341531575905,-0.018477342564832435,0.02377718598755852,,,False,False,False
tangential_major_axis,2,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.12048341531575905,-0.018477342564832435,0.02377718598755852,11.192161106796327,3.192161106796326,False,False,True
tangential_major_axis,3,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.09798249414193316,-0.027681921855659746,0.01900605178919199,12.578546755872276,4.578546755872275,False,False,True
tangential_major_axis,3,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.09798249414193316,-0.027681921855659746,0.01900605178919199,,,False,False,False
tangential_major_axis,3,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.09798249414193316,-0.027681921855659746,0.01900605178919199,12.578546755872276,4.578546755872275,False,False,True
