scenario_id,scenario_name,repetition,initial_seed,final_seed,movement_weight,generic_candidate_index,task_candidate_index,different_candidate,generic_camera_movement,task_camera_movement,generic_localisation_error,task_localisation_error,generic_predicted_sigma,task_predicted_sigma,generic_scene_information,task_generic_scene_information,generic_task_scene_information,task_task_scene_information,generic_alignment,task_alignment,generic_score,task_score
0,baseline,0,20261000,30261000,0.0,23,17,True,0.09404347753675714,0.2870141008899879,0.03971398609357748,0.004233758360161918,0.026062729543903332,0.003170134643112564,0.9958614059552722,0.9907807385957408,0.9924848920438344,0.983259110707565,0.9888736951741227,0.999124266970088,0.9958614059552722,1.9823833776776532
0,baseline,0,20261000,30261000,0.025,11,23,True,0.07304428217894189,0.09404347753675714,0.03970895470881244,0.03971398609357748,0.02605721640779876,0.026062729543903332,0.9948635495203483,0.9958614059552722,0.9906729243194906,0.9924848920438344,0.9865232998845183,0.9888736951741227,0.9905539767329775,1.9757281726002127
0,baseline,0,20261000,30261000,0.05,0,23,True,0.004529219444194223,0.09404347753675714,0.03970910747123983,0.03971398609357748,0.026057383797114673,0.026062729543903332,0.9871157593007586,0.9958614059552722,0.9766040208965723,0.9924848920438344,0.9425007657542485,0.9888736951741227,0.9871157593007586,1.9700977579824683
0,baseline,0,20261000,30261000,0.075,0,23,True,0.004529219444194223,0.09404347753675714,0.03970910747123983,0.03971398609357748,0.026057383797114673,0.026062729543903332,0.9871157593007586,0.9958614059552722,0.9766040208965723,0.9924848920438344,0.9425007657542485,0.9888736951741227,0.9871157593007586,1.9644673433647242
0,baseline,0,20261000,30261000,0.1,0,11,True,0.004529219444194223,0.07304428217894189,0.03970910747123983,0.03970895470881244,0.026057383797114673,0.02605721640779876,0.9871157593007586,0.9948635495203483,0.9766040208965723,0.9906729243194906,0.9425007657542485,0.9865232998845183,0.9871157593007586,1.9599579330545258
0,baseline,0,20261000,30261000,0.15,0,11,True,0.004529219444194223,0.07304428217894189,0.03970910747123983,0.03970895470881244,0.026057383797114673,0.02605721640779876,0.9871157593007586,0.9948635495203483,0.9766040208965723,0.9906729243194906,0.9425007657542485,0.9865232998845183,0.9871157593007586,1.9513387874797843
0,baseline,0,20261000,30261000,0.2,0,11,True,0.004529219444194223,0.07304428217894189,0.03970910747123983,0.03970895470881244,0.026057383797114673,0.02605721640779876,0.9871157593007586,0.9948635495203483,0.9766040208965723,0.9906729243194906,0.9425007657542485,0.9865232998845183,0.9871157593007586,1.9427196419050425
0,baseline,0,20261000,30261000,0.25,0,11,True,0.004529219444194223,0.07304428217894189,0.03970910747123983,0.03970895470881244,0.026057383797114673,0.02605721640779876,0.9871157593007586,0.9948635495203483,0.9766040208965723,0.9906729243194906,0.9425007657542485,0.9865232998845183,0.9871157593007586,1.934100496330301
0,baseline,0,20261000,30261000,0.5,0,0,False,0.004529219444194223,0.004529219444194223,0.03970910747123983,0.03970910747123983,0.026057383797114673,0.026057383797114673,0.9871157593007586,0.9871157593007586,0.9766040208965723,0.9766040208965723,0.9425007657542485,0.9425007657542485,0.9871157593007586,1.9191047866508208
0,baseline,0,20261000,30261000,1.0,0,0,False,0.004529219444194223,0.004529219444194223,0.03970910747123983,0.03970910747123983,0.026057383797114673,0.026057383797114673,0.9871157593007586,0.9871157593007586,0.9766040208965723,0.9766040208965723,0.9425007657542485,0.9425007657542485,0.9871157593007586,1.9191047866508208
0,baseline,1,20261001,30261001,0.0,23,59,True,0.0896561099598198,0.11505757290132436,0.07258734130913566,0.007493560606599152,0.026021623644606497,0.0032986269964664864,0.9698216448014962,0.75,0.9436782490471324,0.9665740609652249,0.9969485701190639,0.998736533935227,0.9698216448014962,1.965310594900452
0,baseline,1,20261001,30261001,0.025,23,59,True,0.0896561099598198,0.11505757290132436,0.07258734130913566,0.007493560606599152,0.026021623644606497,0.0032986269964664864,0.9698216448014962,0.75,0.9436782490471324,0.9665740609652249,0.9969485701190639,0.998736533935227,0.9643099590454184,1.9582027007554574
0,baseline,1,20261001,30261001,0.05,23,59,True,0.0896561099598198,0.11505757290132436,0.07258734130913566,0.007493560606599152,0.026021623644606497,0.0032986269964664864,0.9698216448014962,0.75,0.9436782490471324,0.9665740609652249,0.9969485701190639,0.998736533935227,0.9587982732893404,1.951094806610463
0,baseline,1,20261001,30261001,0.075,23,59,True,0.0896561099598198,0.11505757290132436,0.07258734130913566,0.007493560606599152,0.026021623644606497,0.0032986269964664864,0.9698216448014962,0.75,0.9436782490471324,0.9665740609652249,0.9969485701190639,0.998736533935227,0.9532865875332626,1.9439869124654685
0,baseline,1,20261001,30261001,0.1,23,59,True,0.0896561099598198,0.11505757290132436,0.07258734130913566,0.007493560606599152,0.026021623644606497,0.0032986269964664864,0.9698216448014962,0.75,0.9436782490471324,0.9665740609652249,0.9969485701190639,0.998736533935227,0.9477749017771846,1.936879018320474
0,baseline,1,20261001,30261001,0.15,23,59,True,0.0896561099598198,0.11505757290132436,0.07258734130913566,0.007493560606599152,0.026021623644606497,0.0032986269964664864,0.9698216448014962,0.75,0.9436782490471324,0.9665740609652249,0.9969485701190639,0.998736533935227,0.9367515302650289,1.9226632300304853
0,baseline,1,20261001,30261001,0.2,23,59,True,0.0896561099598198,0.11505757290132436,0.07258734130913566,0.007493560606599152,0.026021623644606497,0.0032986269964664864,0.9698216448014962,0.75,0.9436782490471324,0.9665740609652249,0.9969485701190639,0.998736533935227,0.9257281587528731,1.9084474417404964
0,baseline,1,20261001,30261001,0.25,23,59,True,0.0896561099598198,0.11505757290132436,0.07258734130913566,0.007493560606599152,0.026021623644606497,0.0032986269964664864,0.9698216448014962,0.75,0.9436782490471324,0.9665740609652249,0.9969485701190639,0.998736533935227,0.9147047872407172,1.8942316534505075
0,baseline,1,20261001,30261001,0.5,23,23,False,0.0896561099598198,0.0896561099598198,0.07258734130913566,0.07258734130913566,0.026021623644606497,0.026021623644606497,0.9698216448014962,0.9698216448014962,0.9436782490471324,0.9436782490471324,0.9969485701190639,0.9969485701190639,0.8595879296799382,1.8303931040446382
0,baseline,1,20261001,30261001,1.0,0,23,True,0.0019452055125237344,0.0896561099598198,0.07259241636263582,0.07258734130913566,0.026025153622157814,0.026021623644606497,0.7550328962681508,0.9698216448014962,0.5428188144357666,0.9436782490471324,0.9664088902726675,0.9969485701190639,0.7550328962681508,1.7201593889230802
0,baseline,2,20261002,30261002,0.0,3,3,False,0.20096909579708905,0.20096909579708905,0.0031053944822485883,0.0031053944822485883,0.003036941492440329,0.003036941492440329,0.983315294253607,0.983315294253607,0.9989391613270608,0.9989391613270608,0.9999570225582417,0.9999570225582417,0.983315294253607,1.9988961838853025
0,baseline,2,20261002,30261002,0.025,3,1,True,0.20096909579708905,0.07488177769786852,0.0031053944822485883,0.0031650950983752937,0.003036941492440329,0.0033178069370034657,0.983315294253607,0.9715408752257546,0.9989391613270608,0.9981905260651631,0.9999570225582417,0.9973662520353549,0.9708524062254228,1.991002736666459
0,baseline,2,20261002,30261002,0.05,1,1,False,0.07488177769786852,0.07488177769786852,0.0031650950983752937,0.0031650950983752937,0.0033178069370034657,0.0033178069370034657,0.9715408752257546,0.9715408752257546,0.9981905260651631,0.9981905260651631,0.9973662520353549,0.9973662520353549,0.962432792357637,1.9864486952324003
0,baseline,2,20261002,30261002,0.075,1,1,False,0.07488177769786852,0.07488177769786852,0.0031650950983752937,0.0031650950983752937,0.0033178069370034657,0.0033178069370034657,0.9715408752257546,0.9715408752257546,0.9981905260651631,0.9981905260651631,0.9973662520353549,0.9973662520353549,0.9578787509235782,1.9818946537983415
0,baseline,2,20261002,30261002,0.1,1,1,False,0.07488177769786852,0.07488177769786852,0.0031650950983752937,0.0031650950983752937,0.0033178069370034657,0.0033178069370034657,0.9715408752257546,0.9715408752257546,0.9981905260651631,0.9981905260651631,0.9973662520353549,0.9973662520353549,0.9533247094895194,1.9773406123642827
0,baseline,2,20261002,30261002,0.15,1,1,False,0.07488177769786852,0.07488177769786852,0.0031650950983752937,0.0031650950983752937,0.0033178069370034657,0.0033178069370034657,0.9715408752257546,0.9715408752257546,0.9981905260651631,0.9981905260651631,0.9973662520353549,0.9973662520353549,0.9442166266214017,1.9682325294961651
0,baseline,2,20261002,30261002,0.2,1,0,True,0.07488177769786852,0.0022786662201824547,0.0031650950983752937,0.009073628813706101,0.0033178069370034657,0.026024868284029085,0.9715408752257546,0.49999999999999983,0.9981905260651631,0.9682092483660191,0.9973662520353549,0.9947745596044723,0.9351085437532841,1.9629838079704913
0,baseline,2,20261002,30261002,0.25,1,0,True,0.07488177769786852,0.0022786662201824547,0.0031650950983752937,0.009073628813706101,0.0033178069370034657,0.026024868284029085,0.9715408752257546,0.49999999999999983,0.9981905260651631,0.9682092483660191,0.9973662520353549,0.9947745596044723,0.9260004608851665,1.9629838079704913
0,baseline,2,20261002,30261002,0.5,1,0,True,0.07488177769786852,0.0022786662201824547,0.0031650950983752937,0.009073628813706101,0.0033178069370034657,0.026024868284029085,0.9715408752257546,0.49999999999999983,0.9981905260651631,0.9682092483660191,0.9973662520353549,0.9947745596044723,0.8804600465445784,1.9629838079704913
0,baseline,2,20261002,30261002,1.0,1,0,True,0.07488177769786852,0.0022786662201824547,0.0031650950983752937,0.009073628813706101,0.0033178069370034657,0.026024868284029085,0.9715408752257546,0.49999999999999983,0.9981905260651631,0.9682092483660191,0.9973662520353549,0.9947745596044723,0.7893792178634023,1.9629838079704913
0,baseline,3,20261003,30261003,0.0,16,16,False,0.25638546979469357,0.25638546979469357,0.0036045805366647574,0.0036045805366647574,0.002935428023032388,0.002935428023032388,0.986710882225116,0.986710882225116,0.9919935341892145,0.9919935341892145,0.9988371386541463,0.9988371386541463,0.986710882225116,1.990830672843361
0,baseline,3,20261003,30261003,0.025,15,15,False,0.21103210068297112,0.21103210068297112,0.0037284223769732143,0.0037284223769732143,0.003026147370277857,0.003026147370277857,0.9859558234344569,0.9859558234344569,0.99153862420234,0.99153862420234,0.9983091640242654,0.9983091640242654,0.9728080167126698,1.9766999815048185
0,baseline,3,20261003,30261003,0.05,2,15,True,0.14004930496243145,0.21103210068297112,0.003951299807516861,0.0037284223769732143,0.0031909873258566352,0.003026147370277857,0.9783758713672588,0.9859558234344569,0.9869718329298514,0.99153862420234,0.9849433129709935,0.9983091640242654,0.9610060898279215,1.9635521747830313
0,baseline,3,20261003,30261003,0.075,2,15,True,0.14004930496243145,0.21103210068297112,0.003951299807516861,0.0037284223769732143,0.0031909873258566352,0.003026147370277857,0.9783758713672588,0.9859558234344569,0.9869718329298514,0.99153862420234,0.9849433129709935,0.9983091640242654,0.9523211990582529,1.9504043680612444
0,baseline,3,20261003,30261003,0.1,2,15,True,0.14004930496243145,0.21103210068297112,0.003951299807516861,0.0037284223769732143,0.0031909873258566352,0.003026147370277857,0.9783758713672588,0.9859558234344569,0.9869718329298514,0.99153862420234,0.9849433129709935,0.9983091640242654,0.9436363082885842,1.9372565613394572
0,baseline,3,20261003,30261003,0.15,2,2,False,0.14004930496243145,0.14004930496243145,0.003951299807516861,0.003951299807516861,0.0031909873258566352,0.0031909873258566352,0.9783758713672588,0.9783758713672588,0.9869718329298514,0.9869718329298514,0.9849433129709935,0.9849433129709935,0.9262665267492469,1.919805801282833
0,baseline,3,20261003,30261003,0.2,2,2,False,0.14004930496243145,0.14004930496243145,0.003951299807516861,0.003951299807516861,0.0031909873258566352,0.0031909873258566352,0.9783758713672588,0.9783758713672588,0.9869718329298514,0.9869718329298514,0.9849433129709935,0.9849433129709935,0.9088967452099096,1.9024360197434957
0,baseline,3,20261003,30261003,0.25,2,2,False,0.14004930496243145,0.14004930496243145,0.003951299807516861,0.003951299807516861,0.0031909873258566352,0.0031909873258566352,0.9783758713672588,0.9783758713672588,0.9869718329298514,0.9869718329298514,0.9849433129709935,0.9849433129709935,0.8915269636705723,1.8850662382041583
0,baseline,3,20261003,30261003,0.5,2,2,False,0.14004930496243145,0.14004930496243145,0.003951299807516861,0.003951299807516861,0.0031909873258566352,0.0031909873258566352,0.9783758713672588,0.9783758713672588,0.9869718329298514,0.9869718329298514,0.9849433129709935,0.9849433129709935,0.8046780559738859,1.7982173305074718
0,baseline,3,20261003,30261003,1.0,2,0,True,0.14004930496243145,0.0019158886102888521,0.003951299807516861,0.03503017470134893,0.0031909873258566352,0.026027115625183138,0.9783758713672588,0.49999999999999983,0.9869718329298514,0.6987585652255456,0.9849433129709935,0.9336164921428931,0.6309802405805129,1.6323750573684386
0,baseline,4,20261004,30261004,0.0,4,4,False,0.2451604228744055,0.2451604228744055,0.0050884209209631805,0.0050884209209631805,0.002927369516259678,0.002927369516259678,0.9864434735096044,0.9864434735096044,0.9998987535461807,0.9998987535461807,0.9999958097325748,0.9999958097325748,0.9864434735096044,1.9998945632787555
0,baseline,4,20261004,30261004,0.025,4,0,True,0.2451604228744055,0.004296342500936543,0.0050884209209631805,0.04123827236808175,0.002927369516259678,0.02605814512197452,0.9864434735096044,0.5,0.9998987535461807,0.9962657671236448,0.9999958097325748,0.998840421876247,0.9712494196141074,1.9951061889998918
0,baseline,4,20261004,30261004,0.05,2,0,True,0.14079665866240043,0.004296342500936543,0.005567457487357,0.04123827236808175,0.0032347382249846967,0.02605814512197452,0.9749093066078415,0.5,0.9998126110156887,0.9962657671236448,0.9996904295190299,0.998840421876247,0.9576880326238265,1.9951061889998918
0,baseline,4,20261004,30261004,0.075,2,0,True,0.14079665866240043,0.004296342500936543,0.005567457487357,0.04123827236808175,0.0032347382249846967,0.02605814512197452,0.9749093066078415,0.5,0.9998126110156887,0.9962657671236448,0.9996904295190299,0.998840421876247,0.949077395631819,1.9951061889998918
0,baseline,4,20261004,30261004,0.1,2,0,True,0.14079665866240043,0.004296342500936543,0.005567457487357,0.04123827236808175,0.0032347382249846967,0.02605814512197452,0.9749093066078415,0.5,0.9998126110156887,0.9962657671236448,0.9996904295190299,0.998840421876247,0.9404667586398116,1.9951061889998918
0,baseline,4,20261004,30261004,0.15,2,0,True,0.14079665866240043,0.004296342500936543,0.005567457487357,0.04123827236808175,0.0032347382249846967,0.02605814512197452,0.9749093066078415,0.5,0.9998126110156887,0.9962657671236448,0.9996904295190299,0.998840421876247,0.9232454846557966,1.9951061889998918
0,baseline,4,20261004,30261004,0.2,2,0,True,0.14079665866240043,0.004296342500936543,0.005567457487357,0.04123827236808175,0.0032347382249846967,0.02605814512197452,0.9749093066078415,0.5,0.9998126110156887,0.9962657671236448,0.9996904295190299,0.998840421876247,0.9060242106717816,1.9951061889998918
0,baseline,4,20261004,30261004,0.25,2,0,True,0.14079665866240043,0.004296342500936543,0.005567457487357,0.04123827236808175,0.0032347382249846967,0.02605814512197452,0.9749093066078415,0.5,0.9998126110156887,0.9962657671236448,0.9996904295190299,0.998840421876247,0.8888029366877667,1.9951061889998918
0,baseline,4,20261004,30261004,0.5,2,0,True,0.14079665866240043,0.004296342500936543,0.005567457487357,0.04123827236808175,0.0032347382249846967,0.02605814512197452,0.9749093066078415,0.5,0.9998126110156887,0.9962657671236448,0.9996904295190299,0.998840421876247,0.8026965667676919,1.9951061889998918
0,baseline,4,20261004,30261004,1.0,2,0,True,0.14079665866240043,0.004296342500936543,0.005567457487357,0.04123827236808175,0.0032347382249846967,0.02605814512197452,0.9749093066078415,0.5,0.9998126110156887,0.9962657671236448,0.9996904295190299,0.998840421876247,0.6304838269275422,1.9951061889998918
1,lateral_positive,0,20261100,30261100,0.0,22,16,True,0.2796878485849221,0.0920060231566557,0.00568109894665114,0.005503251068614081,0.0030029977071312423,0.0029093567236077363,0.988440400328195,0.9876881217474158,0.9794361860025768,0.9780979288614473,0.9623986551031894,0.9985723544508311,0.988440400328195,1.9766702833122785
1,lateral_positive,0,20261100,30261100,0.025,3,16,True,0.006566750379000604,0.0920060231566557,0.005656118358340198,0.005503251068614081,0.00298958445309228,0.0029093567236077363,0.9850733645651145,0.9876881217474158,0.9734464372984288,0.9780979288614473,0.9928968487947113,0.9985723544508311,0.9850733645651145,1.9711621598489075
1,lateral_positive,0,20261100,30261100,0.05,3,4,True,0.006566750379000604,0.07200667733595244,0.005656118358340198,0.0054892602542908325,0.00298958445309228,0.0029019320112759497,0.9850733645651145,0.9870008512843746,0.9734464372984288,0.9768753171474472,0.9928968487947113,0.99793931097621,0.9850733645651145,1.9663770282847426
1,lateral_positive,0,20261100,30261100,0.075,3,3,False,0.006566750379000604,0.006566750379000604,0.005656118358340198,0.005656118358340198,0.00298958445309228,0.00298958445309228,0.9850733645651145,0.9850733645651145,0.9734464372984288,0.9734464372984288,0.9928968487947113,0.9928968487947113,0.9850733645651145,1.96634328609314
1,lateral_positive,0,20261100,30261100,0.1,3,3,False,0.006566750379000604,0.006566750379000604,0.005656118358340198,0.005656118358340198,0.00298958445309228,0.00298958445309228,0.9850733645651145,0.9850733645651145,0.9734464372984288,0.9734464372984288,0.9928968487947113,0.9928968487947113,0.9850733645651145,1.96634328609314
1,lateral_positive,0,20261100,30261100,0.15,3,3,False,0.006566750379000604,0.006566750379000604,0.005656118358340198,0.005656118358340198,0.00298958445309228,0.00298958445309228,0.9850733645651145,0.9850733645651145,0.9734464372984288,0.9734464372984288,0.9928968487947113,0.9928968487947113,0.9850733645651145,1.96634328609314
1,lateral_positive,0,20261100,30261100,0.2,3,3,False,0.006566750379000604,0.006566750379000604,0.005656118358340198,0.005656118358340198,0.00298958445309228,0.00298958445309228,0.9850733645651145,0.9850733645651145,0.9734464372984288,0.9734464372984288,0.9928968487947113,0.9928968487947113,0.9850733645651145,1.96634328609314
1,lateral_positive,0,20261100,30261100,0.25,3,3,False,0.006566750379000604,0.006566750379000604,0.005656118358340198,0.005656118358340198,0.00298958445309228,0.00298958445309228,0.9850733645651145,0.9850733645651145,0.9734464372984288,0.9734464372984288,0.9928968487947113,0.9928968487947113,0.9850733645651145,1.96634328609314
1,lateral_positive,0,20261100,30261100,0.5,3,3,False,0.006566750379000604,0.006566750379000604,0.005656118358340198,0.005656118358340198,0.00298958445309228,0.00298958445309228,0.9850733645651145,0.9850733645651145,0.9734464372984288,0.9734464372984288,0.9928968487947113,0.9928968487947113,0.9850733645651145,1.96634328609314
1,lateral_positive,0,20261100,30261100,1.0,3,3,False,0.006566750379000604,0.006566750379000604,0.005656118358340198,0.005656118358340198,0.00298958445309228,0.00298958445309228,0.9850733645651145,0.9850733645651145,0.9734464372984288,0.9734464372984288,0.9928968487947113,0.9928968487947113,0.9850733645651145,1.96634328609314
1,lateral_positive,1,20261101,30261101,0.0,22,16,True,0.2811437918020977,0.0953406575869509,0.005304518478790559,0.005274206954684628,0.0029469127223802375,0.0029304054311414546,0.987586583644769,0.987498769957558,0.9779741533668227,0.9778183404341493,0.9611016602911632,0.9987015634951851,0.987586583644769,1.9765199039293344
1,lateral_positive,1,20261101,30261101,0.025,3,4,True,0.005958865695152405,0.07566906491056098,0.005447362490478653,0.005281561663849617,0.0030328294121557816,0.0029350115441751055,0.984572130826576,0.9872887599226285,0.9726254344036913,0.9774457074144862,0.99148830344664,0.9985231214964918,0.984572130826576,1.9715098358126575
1,lateral_positive,1,20261101,30261101,0.05,3,4,True,0.005958865695152405,0.07566906491056098,0.005447362490478653,0.005281561663849617,0.0030328294121557816,0.0029350115441751055,0.984572130826576,0.9872887599226285,0.9726254344036913,0.9774457074144862,0.99148830344664,0.9985231214964918,0.984572130826576,1.967050842714337
