trial,generic_planning_success,generic_safe,generic_collision,generic_safety_margin_violation,generic_minimum_safety_clearance_m,generic_path_cost,task_aware_planning_success,task_aware_safe,task_aware_collision,task_aware_safety_margin_violation,task_aware_minimum_safety_clearance_m,task_aware_path_cost,clearance_difference_m
0,True,False,False,True,-0.001585400651172195,2.0235136780158394,True,True,False,False,0.003746301514004768,2.0436475954894586,0.005331702165176963
1,True,False,False,True,-0.005017186980295027,1.7759395098351138,True,True,False,False,0.007082424797183467,2.9256442438681365,0.012099611777478494
2,True,False,False,True,-0.0066690172370902235,1.9430871594167516,True,True,False,False,0.004359313036384696,2.770902377394092,0.01102833027347492
3,True,False,False,True,-0.005071566425938633,1.6531182500048582,True,True,False,False,0.010794323766832021,2.7418432907247308,0.015865890192770654
4,True,True,False,False,0.004366826106604235,2.347433278514071,True,True,False,False,0.00844349233820797,2.3225437529642385,0.004076666231603736
5,True,True,False,False,0.0009589081326021997,2.319472466294659,True,True,False,False,0.008716908850570316,2.592471331382672,0.0077580007179681165
6,True,False,False,True,-0.01167192538816299,2.1901246591628922,True,True,False,False,0.006994439268693286,2.474820926112768,0.018666364656856275
7,True,True,False,False,0.0011076646985727894,2.1026435134017896,True,True,False,False,0.01022582553919677,2.6943488680072076,0.00911816084062398
8,True,False,False,True,-0.00882491372992709,1.8798663728980154,True,True,False,False,0.010927904449841727,3.127734659361866,0.019752818179768816
9,True,False,False,True,-0.005859032538739014,2.8638326098709697,True,True,False,False,0.0033049639430628285,2.988285511593105,0.009163996481801842
10,True,True,False,False,5.25799036088289e-05,2.5589726821439003,True,True,False,False,0.011937325152883127,2.8396156678252913,0.011884745249274298
11,True,False,False,True,-0.008092388196926483,1.7385950742897882,True,True,False,False,0.008519426050498586,2.4797423476251295,0.01661181424742507
12,True,False,False,True,-0.009029458562498935,2.1714783773478263,True,True,False,False,0.014771750918011797,2.5533654671605546,0.023801209480510732
13,True,False,False,True,-0.0015331590299233634,2.203652347964069,True,True,False,False,0.005672905485416461,3.143711366810688,0.0072060645153398245
14,True,True,False,False,0.0023630018689126658,2.373622865635538,True,True,False,False,0.013907922259058033,2.6219229117960934,0.011544920390145368
15,True,True,False,False,0.00479482772218511,2.2621830781363546,True,True,False,False,0.004642482168071635,2.3444902034792943,-0.0001523455541134755
16,True,True,False,False,0.00027426910005832854,1.6944097559296314,True,True,False,False,0.009028287430070612,2.72481064602088,0.008754018330012284
17,True,False,False,True,-0.0012033665952230436,2.0915640770954798,True,True,False,False,0.0061566288363302645,2.1093237641534723,0.007359995431553308
18,True,True,False,False,0.0025162799013715136,1.7400062370180875,True,True,False,False,0.013279091885622775,2.6065015481559963,0.010762811984251261
19,True,False,False,True,-0.002740817462666254,2.029554507888344,True,True,False,False,0.0061952905957284015,2.291527132434282,0.008936108058394655
20,True,True,False,False,5.571329755762154e-05,2.1879776869721628,True,True,False,False,0.010038918992565335,2.5085193989166665,0.009983205695007713
21,True,False,False,True,-0.012718298151417702,1.6014493123298295,True,False,False,True,-0.0028758568944472155,2.7911602468215855,0.009842441256970487
22,True,True,False,False,0.003697324174497146,3.0149848700186155,True,True,False,False,0.009633142421940853,3.166188129635529,0.005935818247443707
23,True,True,False,False,0.00038211757268319206,2.396217211676852,True,True,False,False,0.008982318114449486,2.84826402167699,0.008600200541766294
24,True,False,False,True,-0.007415421715612576,2.6328416016828027,True,True,False,False,0.00475514611451224,2.299191691882708,0.012170567830124816
25,True,False,False,True,-0.0007314983666770001,1.7008655284628247,True,True,False,False,0.01241273092827169,2.421306809724783,0.01314422929494869
26,True,True,False,False,0.0048221305319173565,2.690513428008603,True,True,False,False,0.013110601780219644,2.547522625021773,0.008288471248302287
27,True,False,False,True,-0.002070152104839367,2.097916389177942,True,True,False,False,0.01395527414441333,2.850005165653072,0.016025426249252697
28,True,False,False,True,-0.0021499268897856322,2.184732821232241,True,True,False,False,0.007988204460437997,2.8476272432012024,0.01013813135022363
29,True,True,False,False,0.003800269800463876,2.3728542785970888,True,True,False,False,0.00995652328136235,2.4668534168924734,0.006156253480898474
30,True,False,False,True,-0.003239644955368647,2.1257582574448977,True,True,False,False,0.017095391958033418,2.5012626664737345,0.020335036913402063
31,True,False,False,True,-0.005066273275958171,2.1407720016456064,True,True,False,False,0.005689402635279837,2.285038211260755,0.010755675911238008
32,True,False,False,True,-0.009559196168136443,1.688218629777695,True,True,False,False,0.0010983642492603304,2.5050128879770495,0.010657560417396773
33,True,False,False,True,-0.014412568734168756,2.0311395557044474,True,True,False,False,0.009239170896525295,2.6309987726123536,0.02365173963069405
34,True,False,False,True,-0.0032134852519409996,2.1920021940541488,True,True,False,False,0.008983512086109936,2.4661345999977824,0.012196997338050936
35,True,True,False,False,0.005503596434264664,2.4084703172879682,True,True,False,False,0.012611082133487042,2.8354017092932153,0.007107485699222378
36,True,True,False,False,0.0013837050475423909,1.9363938469145399,True,True,False,False,0.014945281214030859,2.923883274095048,0.013561576166488468
37,True,False,False,True,-0.001327652144625437,2.1143978778170824,True,True,False,False,0.007746158173239133,2.627929650090341,0.00907381031786457
38,True,True,False,False,0.00669272795456642,2.6178242056988923,True,True,False,False,0.012925987997679201,2.5821253898793026,0.006233260043112782
39,True,True,False,False,0.0029962610177370324,2.2216290563357046,True,True,False,False,0.011478126090104032,3.054819425703273,0.008481865072367
40,True,False,False,True,-0.00389694563274417,1.960973110186235,True,True,False,False,0.01780660137119705,3.061073072908319,0.02170354700394122
41,True,True,False,False,0.0046526182741778565,2.580807563159616,True,True,False,False,0.00941863960237276,2.642375962160034,0.004766021328194904
42,True,False,False,True,-0.0009405267243317115,2.063170617291549,True,True,False,False,0.0053162607910178985,2.3183271038378095,0.00625678751534961
43,True,True,False,False,0.008447847950346274,2.462098143867077,True,True,False,False,0.012512422086884098,2.6120251009308415,0.004064574136537824
44,True,True,False,False,0.0009165594267750623,2.5012467189075545,True,True,False,False,0.007485567067411094,2.879865205030878,0.006569007640636032
45,True,True,False,False,0.008860102859106342,2.474496604495247,True,True,False,False,0.008800874699205324,2.6957564335750637,-5.9228159901017485e-05
46,True,True,False,False,0.0045055787656968615,2.507203447798936,True,True,False,False,0.01061597840317909,2.7353326677467185,0.006110399637482229
