scenario_id,scenario_name,movement_weight,generic_candidate_index,task_candidate_index,generic_movement,task_movement,generic_sigma,task_sigma,generic_alignment,task_alignment,generic_information,task_information,generic_normalised_movement,task_normalised_movement,generic_score,task_score,different_candidate
3,superior_shift,0.025,9,4,0.0,0.2723020113571106,0.002,0.002,0.8819123913089086,0.9984419271985017,1.0,1.0,0.0,0.6807550283927765,1.0,1.9814230514886821,True
3,superior_shift,0.05,9,4,0.0,0.2723020113571106,0.002,0.002,0.8819123913089086,0.9984419271985017,1.0,1.0,0.0,0.6807550283927765,1.0,1.9644041757788628,True
3,superior_shift,0.075,9,4,0.0,0.2723020113571106,0.002,0.002,0.8819123913089086,0.9984419271985017,1.0,1.0,0.0,0.6807550283927765,1.0,1.9473853000690435,True
3,superior_shift,0.1,9,4,0.0,0.2723020113571106,0.002,0.002,0.8819123913089086,0.9984419271985017,1.0,1.0,0.0,0.6807550283927765,1.0,1.930366424359224,True
3,superior_shift,0.15,9,22,0.0,0.09153744774286736,0.002,0.002,0.8819123913089086,0.9488353662880032,1.0,1.0,0.0,0.2288436193571684,1.0,1.9145088233844278,True
3,superior_shift,0.2,9,22,0.0,0.09153744774286736,0.002,0.002,0.8819123913089086,0.9488353662880032,1.0,1.0,0.0,0.2288436193571684,1.0,1.9030666424165696,True
3,superior_shift,0.25,9,22,0.0,0.09153744774286736,0.002,0.002,0.8819123913089086,0.9488353662880032,1.0,1.0,0.0,0.2288436193571684,1.0,1.891624461448711,True
3,superior_shift,0.5,9,9,0.0,0.0,0.002,0.002,0.8819123913089086,0.8819123913089086,1.0,1.0,0.0,0.0,1.0,1.8819123913089086,False
3,superior_shift,1.0,9,9,0.0,0.0,0.002,0.002,0.8819123913089086,0.8819123913089086,1.0,1.0,0.0,0.0,1.0,1.8819123913089086,False
4,larger_anatomy,0.0,0,4,0.052094453300079106,0.25718297760093484,0.002,0.002,0.8986761153306215,0.9983286048827411,1.0,1.0,0.13023613325019776,0.642957444002337,1.0,1.998328604882741,True
4,larger_anatomy,0.025,12,4,0.0,0.25718297760093484,0.0020000000000000005,0.002,0.891880547233283,0.9983286048827411,0.9999999999999997,1.0,0.0,0.642957444002337,0.9999999999999997,1.9822546687826827,True
4,larger_anatomy,0.05,12,3,0.0,0.21213203435596428,0.0020000000000000005,0.002,0.891880547233283,0.9942052588906239,0.9999999999999997,1.0,0.0,0.5303300858899107,0.9999999999999997,1.9676887545961286,True
4,larger_anatomy,0.075,12,3,0.0,0.21213203435596428,0.0020000000000000005,0.002,0.891880547233283,0.9942052588906239,0.9999999999999997,1.0,0.0,0.5303300858899107,0.9999999999999997,1.9544305024488806,True
4,larger_anatomy,0.1,12,3,0.0,0.21213203435596428,0.0020000000000000005,0.002,0.891880547233283,0.9942052588906239,0.9999999999999997,1.0,0.0,0.5303300858899107,0.9999999999999997,1.9411722503016329,True
4,larger_anatomy,0.15,12,2,0.0,0.1544568419731449,0.0020000000000000005,0.002,0.891880547233283,0.9727783723504789,0.9999999999999997,1.0,0.0,0.3861421049328623,0.9999999999999997,1.9148570566105496,True
4,larger_anatomy,0.2,12,14,0.0,0.15,0.0020000000000000005,0.002,0.891880547233283,0.9708025345141861,0.9999999999999997,1.0,0.0,0.37499999999999994,0.9999999999999997,1.895802534514186,True
4,larger_anatomy,0.25,12,12,0.0,0.0,0.0020000000000000005,0.0020000000000000005,0.891880547233283,0.891880547233283,0.9999999999999997,0.9999999999999997,0.0,0.0,0.9999999999999997,1.8918805472332827,False
4,larger_anatomy,0.5,12,12,0.0,0.0,0.0020000000000000005,0.0020000000000000005,0.891880547233283,0.891880547233283,0.9999999999999997,0.9999999999999997,0.0,0.0,0.9999999999999997,1.8918805472332827,False
4,larger_anatomy,1.0,12,12,0.0,0.0,0.0020000000000000005,0.0020000000000000005,0.891880547233283,0.891880547233283,0.9999999999999997,0.9999999999999997,0.0,0.0,0.9999999999999997,1.8918805472332827,False
5,smaller_anatomy,0.0,0,4,0.21213203435596426,0.09153744774286739,0.002,0.002,0.8986761153306215,0.9983286048827411,1.0,1.0,0.5303300858899106,0.22884361935716846,1.0,1.998328604882741,True
5,smaller_anatomy,0.025,15,15,0.0,0.0,0.002,0.002,0.9936644860564042,0.9936644860564042,1.0,1.0,0.0,0.0,1.0,1.9936644860564043,False
5,smaller_anatomy,0.05,15,15,0.0,0.0,0.002,0.002,0.9936644860564042,0.9936644860564042,1.0,1.0,0.0,0.0,1.0,1.9936644860564043,False
5,smaller_anatomy,0.075,15,15,0.0,0.0,0.002,0.002,0.9936644860564042,0.9936644860564042,1.0,1.0,0.0,0.0,1.0,1.9936644860564043,False
5,smaller_anatomy,0.1,15,15,0.0,0.0,0.002,0.002,0.9936644860564042,0.9936644860564042,1.0,1.0,0.0,0.0,1.0,1.9936644860564043,False
5,smaller_anatomy,0.15,15,15,0.0,0.0,0.002,0.002,0.9936644860564042,0.9936644860564042,1.0,1.0,0.0,0.0,1.0,1.9936644860564043,False
5,smaller_anatomy,0.2,15,15,0.0,0.0,0.002,0.002,0.9936644860564042,0.9936644860564042,1.0,1.0,0.0,0.0,1.0,1.9936644860564043,False
5,smaller_anatomy,0.25,15,15,0.0,0.0,0.002,0.002,0.9936644860564042,0.9936644860564042,1.0,1.0,0.0,0.0,1.0,1.9936644860564043,False
5,smaller_anatomy,0.5,15,15,0.0,0.0,0.002,0.002,0.9936644860564042,0.9936644860564042,1.0,1.0,0.0,0.0,1.0,1.9936644860564043,False
5,smaller_anatomy,1.0,15,15,0.0,0.0,0.002,0.002,0.9936644860564042,0.9936644860564042,1.0,1.0,0.0,0.0,1.0,1.9936644860564043,False
6,larger_safety_margin,0.0,0,4,0.2954423259036624,0.15445684197314494,0.002,0.002,0.8986761153306215,0.9983286048827411,1.0,1.0,0.7386058147591559,0.38614210493286233,1.0,1.998328604882741,True
6,larger_safety_margin,0.025,18,16,0.0,0.15000000000000002,0.002,0.002,0.9517938210329573,0.9980562557961319,1.0,1.0,0.0,0.37500000000000006,1.0,1.988681255796132,True
6,larger_safety_margin,0.05,18,16,0.0,0.15000000000000002,0.002,0.002,0.9517938210329573,0.9980562557961319,1.0,1.0,0.0,0.37500000000000006,1.0,1.9793062557961318,True
6,larger_safety_margin,0.075,18,16,0.0,0.15000000000000002,0.002,0.002,0.9517938210329573,0.9980562557961319,1.0,1.0,0.0,0.37500000000000006,1.0,1.969931255796132,True
6,larger_safety_margin,0.1,18,17,0.0,0.07764571353075626,0.002,0.0020000000000000005,0.9517938210329573,0.9832869445414034,1.0,0.9999999999999997,0.0,0.19411428382689064,1.0,1.963875516158714,True
6,larger_safety_margin,0.15,18,17,0.0,0.07764571353075626,0.002,0.0020000000000000005,0.9517938210329573,0.9832869445414034,1.0,0.9999999999999997,0.0,0.19411428382689064,1.0,1.9541698019673694,True
6,larger_safety_margin,0.2,18,18,0.0,0.0,0.002,0.002,0.9517938210329573,0.9517938210329573,1.0,1.0,0.0,0.0,1.0,1.9517938210329573,False
6,larger_safety_margin,0.25,18,18,0.0,0.0,0.002,0.002,0.9517938210329573,0.9517938210329573,1.0,1.0,0.0,0.0,1.0,1.9517938210329573,False
6,larger_safety_margin,0.5,18,18,0.0,0.0,0.002,0.002,0.9517938210329573,0.9517938210329573,1.0,1.0,0.0,0.0,1.0,1.9517938210329573,False
6,larger_safety_margin,1.0,18,18,0.0,0.0,0.002,0.002,0.9517938210329573,0.9517938210329573,1.0,1.0,0.0,0.0,1.0,1.9517938210329573,False
7,partial_occlusion,0.0,0,16,0.24413930440481207,0.0520944533000791,0.002,0.002,0.8986761153306215,0.9980562557961319,1.0,1.0,0.6103482610120301,0.13023613325019773,1.0,1.9980562557961319,True
7,partial_occlusion,0.025,16,16,0.0520944533000791,0.0520944533000791,0.002,0.002,0.9980562557961319,0.9980562557961319,1.0,1.0,0.13023613325019773,0.13023613325019773,0.9967440966687451,1.994800352464877,False
7,partial_occlusion,0.05,16,16,0.0520944533000791,0.0520944533000791,0.002,0.002,0.9980562557961319,0.9980562557961319,1.0,1.0,0.13023613325019773,0.13023613325019773,0.9934881933374902,1.991544449133622,False
7,partial_occlusion,0.075,16,16,0.0520944533000791,0.0520944533000791,0.002,0.002,0.9980562557961319,0.9980562557961319,1.0,1.0,0.13023613325019773,0.13023613325019773,0.9902322900062351,1.9882885458023671,False
7,partial_occlusion,0.1,16,16,0.0520944533000791,0.0520944533000791,0.002,0.002,0.9980562557961319,0.9980562557961319,1.0,1.0,0.13023613325019773,0.13023613325019773,0.9869763866749802,1.9850326424711122,False
7,partial_occlusion,0.15,16,16,0.0520944533000791,0.0520944533000791,0.002,0.002,0.9980562557961319,0.9980562557961319,1.0,1.0,0.13023613325019773,0.13023613325019773,0.9804645800124704,1.9785208358086024,False
7,partial_occlusion,0.2,16,16,0.0520944533000791,0.0520944533000791,0.002,0.002,0.9980562557961319,0.9980562557961319,1.0,1.0,0.13023613325019773,0.13023613325019773,0.9739527733499604,1.9720090291460923,False
7,partial_occlusion,0.25,16,16,0.0520944533000791,0.0520944533000791,0.002,0.002,0.9980562557961319,0.9980562557961319,1.0,1.0,0.13023613325019773,0.13023613325019773,0.9674409666874506,1.9654972224835825,False
7,partial_occlusion,0.5,16,16,0.0520944533000791,0.0520944533000791,0.002,0.002,0.9980562557961319,0.9980562557961319,1.0,1.0,0.13023613325019773,0.13023613325019773,0.9348819333749011,1.932938189171033,False
7,partial_occlusion,1.0,16,16,0.0520944533000791,0.0520944533000791,0.002,0.002,0.9980562557961319,0.9980562557961319,1.0,1.0,0.13023613325019773,0.13023613325019773,0.8697638667498022,1.867820122545934,False
8,strong_occlusion,0.0,0,4,0.24413930440481216,0.24413930440481207,0.002,0.002,0.9089739971651412,0.9984984743017087,1.0,1.0,0.6103482610120303,0.6103482610120301,1.0,1.9984984743017087,True
8,strong_occlusion,0.025,20,4,0.0520944533000791,0.24413930440481207,0.002,0.002,0.8878572191035565,0.9984984743017087,1.0,1.0,0.13023613325019773,0.6103482610120301,0.9967440966687451,1.983239767776408,True
8,strong_occlusion,0.05,20,4,0.0520944533000791,0.24413930440481207,0.002,0.002,0.8878572191035565,0.9984984743017087,1.0,1.0,0.13023613325019773,0.6103482610120301,0.9934881933374902,1.9679810612511073,True
8,strong_occlusion,0.075,20,4,0.0520944533000791,0.24413930440481207,0.002,0.002,0.8878572191035565,0.9984984743017087,1.0,1.0,0.13023613325019773,0.6103482610120301,0.9902322900062351,1.9527223547258066,True
8,strong_occlusion,0.1,20,4,0.0520944533000791,0.24413930440481207,0.002,0.002,0.8878572191035565,0.9984984743017087,1.0,1.0,0.13023613325019773,0.6103482610120301,0.9869763866749802,1.9374636482005057,True
8,strong_occlusion,0.15,20,5,0.0520944533000791,0.1993389073166024,0.002,0.002,0.8878572191035565,0.986049568359967,1.0,1.0,0.13023613325019773,0.49834726829150594,0.9804645800124704,1.911297478116241,True
8,strong_occlusion,0.2,20,6,0.0520944533000791,0.1409538931178862,0.002,0.002,0.8878572191035565,0.959579855838537,1.0,1.0,0.13023613325019773,0.3523847327947155,0.9739527733499604,1.889102909279594,True
8,strong_occlusion,0.25,20,7,0.0520944533000791,0.07296310404050817,0.002,0.002,0.8878572191035565,0.9247231502080706,1.0,1.0,0.13023613325019773,0.1824077601012704,0.9674409666874506,1.879121210182753,True
8,strong_occlusion,0.5,20,7,0.0520944533000791,0.07296310404050817,0.002,0.002,0.8878572191035565,0.9247231502080706,1.0,1.0,0.13023613325019773,0.1824077601012704,0.9348819333749011,1.8335192701574354,True
